iter	Passed	Remaining
0	168	168674
1	170	85245
2	172	57292
3	173	43318
4	175	34916
5	176	29252
6	179	25426
7	180	22380
8	181	19997
9	182	18078
10	183	16528
11	184	15217
12	186	14122
13	187	13172
14	188	12345
15	188	11619
16	190	10987
17	192	10483
18	193	9981
19	194	9525
20	195	9103
21	196	8742
22	197	8388
23	198	8068
24	199	7770
25	200	7493
26	200	7236
27	201	6998
28	202	6785
29	203	6582
30	204	6389
31	206	6248
32	208	6100
33	209	5964
34	211	5823
35	212	5683
36	213	5549
37	214	5427
38	216	5346
39	219	5278
40	221	5189
41	223	5091
42	224	4991
43	225	4894
44	226	4799
45	227	4708
46	229	4653
47	231	4586
48	232	4520
49	235	4482
50	237	4416
51	238	4345
52	239	4275
53	240	4213
54	244	4203
55	245	4145
56	247	4098
57	249	4058
58	251	4004
59	252	3950
60	253	3896
61	254	3845
62	257	3828
63	258	3783
64	259	3738
65	261	3694
66	265	3697
67	267	3672
68	270	3644
69	271	3602
70	274	3592
71	276	3563
72	277	3526
73	279	3491
74	280	3457
75	283	3451
76	285	3424
77	286	3391
78	288	3357
79	289	3326
80	290	3295
81	295	3308
82	296	3275
83	297	3245
84	298	3215
85	299	3185
86	300	3153
87	301	3123
88	302	3092
89	303	3067
90	304	3038
91	304	3010
92	305	2982
93	309	2986
94	311	2963
95	312	2940
96	313	2914
97	314	2890
98	315	2875
99	317	2854
100	318	2830
101	318	2807
102	319	2783
103	320	2761
104	321	2742
105	325	2746
106	326	2727
107	327	2708
108	328	2688
109	332	2692
110	333	2674
111	334	2655
112	338	2654
113	340	2645
114	341	2628
115	342	2611
116	343	2593
117	344	2576
118	346	2566
119	347	2547
120	348	2529
121	349	2512
122	349	2494
123	351	2479
124	354	2481
125	355	2466
126	356	2451
127	357	2435
128	358	2422
129	360	2410
130	361	2396
131	368	2423
132	370	2413
133	371	2399
134	372	2386
135	374	2378
136	375	2364
137	376	2353
138	377	2338
139	379	2328
140	380	2318
141	383	2315
142	384	2304
143	385	2291
144	386	2279
145	387	2266
146	388	2255
147	389	2243
148	390	2230
149	391	2219
150	394	2218
151	395	2207
152	396	2195
153	397	2183
154	398	2172
155	400	2168
156	401	2156
157	402	2144
158	403	2132
159	404	2121
160	404	2108
161	408	2115
162	410	2105
163	411	2095
164	411	2084
165	412	2074
166	414	2069
167	416	2061
168	417	2050
169	417	2040
170	418	2029
171	419	2021
172	421	2015
173	425	2021
174	427	2014
175	428	2006
176	429	1998
177	431	1993
178	432	1984
179	433	1975
180	434	1966
181	438	1969
182	439	1961
183	440	1953
184	442	1948
185	445	1947
186	447	1943
187	465	2010
188	468	2012
189	470	2006
190	472	1999
191	474	1996
192	476	1991
193	482	2006
194	484	2000
195	486	1993
196	487	1986
197	489	1981
198	490	1973
199	491	1966
200	493	1961
201	496	1961
202	498	1955
203	499	1949
204	501	1943
205	502	1936
206	505	1936
207	509	1940
208	512	1939
209	513	1932
210	514	1925
211	516	1918
212	517	1910
213	518	1903
214	519	1894
215	519	1886
216	520	1879
217	522	1874
218	524	1870
219	525	1863
220	526	1856
221	527	1849
222	529	1843
223	530	1836
224	531	1829
225	532	1822
226	533	1816
227	534	1809
228	535	1802
229	536	1795
230	538	1791
231	539	1785
232	540	1780
233	541	1773
234	543	1767
235	544	1761
236	545	1755
237	545	1748
238	546	1740
239	547	1733
240	548	1726
241	549	1720
242	550	1713
243	551	1708
244	553	1706
245	554	1700
246	556	1695
247	557	1689
248	558	1683
249	559	1677
250	560	1671
251	560	1664
252	561	1658
253	562	1652
254	563	1646
255	564	1639
256	565	1634
257	567	1632
258	568	1627
259	569	1621
260	570	1616
261	572	1611
262	573	1605
263	573	1599
264	574	1593
265	575	1587
266	576	1582
267	577	1576
268	577	1570
269	578	1564
270	579	1558
271	582	1557
272	583	1553
273	584	1548
274	585	1543
275	586	1538
276	587	1533
277	588	1528
278	589	1523
279	590	1518
280	591	1512
281	591	1507
282	592	1501
283	593	1496
284	594	1491
285	597	1490
286	598	1485
287	599	1481
288	600	1477
289	601	1472
290	602	1467
291	603	1462
292	604	1457
293	604	1452
294	605	1447
295	606	1442
296	607	1437
297	608	1433
298	611	1433
299	612	1429
300	613	1424
301	614	1419
302	615	1415
303	616	1412
304	617	1407
305	618	1403
306	619	1398
307	620	1393
308	621	1388
309	621	1384
310	622	1379
311	625	1379
312	626	1375
313	627	1371
314	628	1367
315	629	1363
316	630	1358
317	631	1354
318	632	1349
319	633	1345
320	633	1340
321	634	1336
322	635	1331
323	636	1327
324	637	1323
325	640	1324
326	641	1319
327	642	1315
328	643	1312
329	644	1308
330	645	1304
331	646	1300
332	646	1295
333	647	1292
334	648	1287
335	649	1283
336	650	1279
337	651	1275
338	652	1271
339	654	1270
340	655	1266
341	656	1263
342	657	1259
343	658	1256
344	659	1252
345	660	1248
346	661	1244
347	662	1240
348	663	1236
349	663	1232
350	664	1228
351	665	1224
352	666	1221
353	667	1217
354	668	1214
355	669	1211
356	670	1207
357	671	1203
358	672	1200
359	673	1196
360	673	1192
361	674	1189
362	675	1185
363	676	1182
364	677	1178
365	678	1174
366	679	1171
367	679	1167
368	680	1164
369	681	1161
370	683	1158
371	683	1154
372	685	1151
373	686	1149
374	687	1145
375	688	1142
376	689	1139
377	690	1135
378	690	1132
379	691	1128
380	692	1125
381	693	1121
382	694	1118
383	695	1114
384	697	1113
385	698	1110
386	699	1107
387	699	1104
388	700	1100
389	701	1097
390	702	1094
391	703	1091
392	704	1088
393	705	1084
394	706	1081
395	706	1078
396	707	1074
397	708	1071
398	709	1068
399	710	1065
400	712	1063
401	713	1061
402	714	1057
403	714	1054
404	715	1051
405	716	1048
406	717	1045
407	718	1042
408	719	1039
409	720	1036
410	720	1032
411	721	1029
412	722	1026
413	723	1024
414	724	1020
415	725	1017
416	727	1016
417	728	1013
418	728	1010
419	729	1007
420	730	1004
421	731	1001
422	732	998
423	733	995
424	733	992
425	734	989
426	735	987
427	736	984
428	737	981
429	738	978
430	738	975
431	739	972
432	742	972
433	743	969
434	744	967
435	745	964
436	746	961
437	747	958
438	748	955
439	748	953
440	749	950
441	750	947
442	751	944
443	752	941
444	752	938
445	753	936
446	754	933
447	756	932
448	757	929
449	758	927
450	759	924
451	760	922
452	761	919
453	762	917
454	763	914
455	764	911
456	765	909
457	766	906
458	766	903
459	767	901
460	768	898
461	769	895
462	770	894
463	771	891
464	772	888
465	773	886
466	774	884
467	775	881
468	776	879
469	777	876
470	778	874
471	779	871
472	779	869
473	780	866
474	781	863
475	782	861
476	783	858
477	785	857
478	786	854
479	786	852
480	787	849
481	788	847
482	789	844
483	790	842
484	791	840
485	791	837
486	792	835
487	793	832
488	794	830
489	795	827
490	795	825
491	796	822
492	797	820
493	799	818
494	800	816
495	801	814
496	802	812
497	803	810
498	804	807
499	805	805
500	806	802
501	806	800
502	807	798
503	808	795
504	809	793
505	810	790
506	810	788
507	811	786
508	812	783
509	814	783
510	816	781
511	818	779
512	819	777
513	820	775
514	821	773
515	822	771
516	823	769
517	825	767
518	826	765
519	826	763
520	827	760
521	830	760
522	830	757
523	831	755
524	833	753
525	834	751
526	835	749
527	836	747
528	838	746
529	839	744
530	840	742
531	841	740
532	842	738
533	844	737
534	846	735
535	847	733
536	848	731
537	849	729
538	851	728
539	852	726
540	853	724
541	854	722
542	855	720
543	857	718
544	858	716
545	860	715
546	861	713
547	862	711
548	863	709
549	864	707
550	865	705
551	866	703
552	867	701
553	868	699
554	869	696
555	869	694
556	871	693
